,Example,ClosePrice,Date,EndPrice,Grid,Grid_size,Month,StartPrice,Sum_commision,Sum_lot,Sum_profit,Time_grid,Type_of_grid,Year
0,5001.26,1.09206,2015-06-01 11:22:25,1.09080,1.0,0.0,6.0,1.09080,0.0,0.01,1.26,42.0,buy,2015.0
1,5006.67,1.11126,2015-06-02 16:27:41,1.11667,1.0,0.0,6.0,1.11667,0.0,0.01,5.41,11.0,sell,2015.0
2,5007.99,1.1161,2015-06-03 05:30:35,1.11742,1.0,0.0,6.0,1.11742,0.0,0.01,1.32,34.0,sell,2015.0
3,5011.01,1.12483,2015-06-04 09:47:16,1.12734,3.0,39.0,6.0,1.12347,0.0,0.03,3.02,1031.0,sell,2015.0
4,5012.01,1.13283,2015-06-04 14:56:28,1.13383,1.0,0.0,6.0,1.13383,0.0,0.01,1.0,214.0,sell,2015.0
5,5013.02,1.12976,2015-06-04 17:03:05,1.12875,1.0,0.0,6.0,1.12875,0.0,0.01,1.01,81.0,buy,2015.0
6,5014.08,1.1237,2015-06-09 16:15:39,1.12264,1.0,0.0,6.0,1.12264,0.0,0.01,1.06,32.0,buy,2015.0
7,5015.09,1.13307,2015-06-10 11:26:37,1.13408,1.0,0.0,6.0,1.13408,0.0,0.01,1.01,67.0,sell,2015.0
8,5017.0,1.12624,2015-06-11 11:45:34,1.12433,1.0,0.0,6.0,1.12433,0.0,0.01,1.91,40.0,buy,2015.0
9,5022.32,1.12462,2015-06-11 15:42:37,1.11930,1.0,0.0,6.0,1.11930,0.0,0.01,5.32,12.0,buy,2015.0
10,5023.33,1.11833,2015-06-12 12:51:31,1.11732,1.0,0.0,6.0,1.11732,0.0,0.01,1.01,61.0,buy,2015.0
11,5024.34,1.12679,2015-06-12 20:28:39,1.12780,1.0,0.0,6.0,1.12780,0.0,0.01,1.01,138.0,sell,2015.0
12,5025.34,1.12682,2015-06-15 20:51:27,1.12782,1.0,0.0,6.0,1.12782,0.0,0.01,1.0,82.0,sell,2015.0
13,5027.37,1.13039,2015-06-16 10:38:29,1.13242,1.0,0.0,6.0,1.13242,0.0,0.01,2.03,31.0,sell,2015.0
14,5034.07,1.13391,2015-06-18 09:29:40,1.13724,3.0,51.0,6.0,1.13216,0.0,0.06,6.7,707.0,sell,2015.0
15,5036.88,1.13852,2015-06-18 11:57:41,1.14133,1.0,0.0,6.0,1.14133,0.0,0.01,2.81,37.0,sell,2015.0
16,5037.88,1.13538,2015-06-22 12:54:27,1.13438,1.0,0.0,6.0,1.13438,0.0,0.01,1.0,125.0,buy,2015.0
17,5039.79,1.13418,2015-06-22 23:12:38,1.13227,1.0,0.0,6.0,1.13227,0.0,0.01,1.91,41.0,buy,2015.0
18,5040.79,1.11837,2015-06-23 17:24:42,1.11737,1.0,0.0,6.0,1.11737,0.0,0.01,1.0,107.0,buy,2015.0
19,5041.81,1.11878,2015-06-26 17:02:30,1.11776,1.0,0.0,6.0,1.11776,0.0,0.01,1.02,60.0,buy,2015.0
20,5043.28,1.09923,2015-06-29 01:14:37,1.09776,1.0,0.0,6.0,1.09776,0.0,0.01,1.47,44.0,buy,2015.0
21,5044.29,1.10602,2015-07-06 18:32:45,1.10703,1.0,0.0,7.0,1.10703,0.0,0.01,1.01,44.0,sell,2015.0
22,5045.3,1.09928,2015-07-07 12:57:35,1.09827,1.0,0.0,7.0,1.09827,0.0,0.01,1.01,89.0,buy,2015.0
23,5046.41,1.09355,2015-07-07 16:17:57,1.09244,1.0,0.0,7.0,1.09244,0.0,0.01,1.11,56.0,buy,2015.0
24,5047.45,1.09774,2015-07-08 04:35:59,1.09878,1.0,0.0,7.0,1.09878,0.0,0.01,1.04,383.0,sell,2015.0
25,5048.45,1.10062,2015-07-08 08:47:41,1.10162,1.0,0.0,7.0,1.10162,0.0,0.01,1.0,73.0,sell,2015.0
26,5063.38,1.1097599999999999,2015-07-13 00:01:00,1.11935,7.0,132.0,7.0,1.10611,0.0,0.08,14.93,1369.0,sell,2015.0
27,5064.58,1.10785,2015-07-13 12:53:15,1.10665,1.0,0.0,7.0,1.10665,0.0,0.01,1.2,107.0,buy,2015.0
28,5065.6,1.10315,2015-07-13 18:33:41,1.10213,1.0,0.0,7.0,1.10213,0.0,0.01,1.02,45.0,buy,2015.0
29,5066.62,1.0995,2015-07-14 04:19:27,1.09848,1.0,0.0,7.0,1.09848,0.0,0.01,1.02,85.0,buy,2015.0
30,5067.94,1.09876,2015-07-14 09:52:17,1.09744,1.0,0.0,7.0,1.09744,0.0,0.01,1.32,43.0,buy,2015.0
31,5070.47,1.09643,2015-07-15 17:35:23,1.09390,1.0,0.0,7.0,1.09390,0.0,0.01,2.53,11.0,buy,2015.0
32,5071.47,1.08368,2015-07-20 12:26:42,1.08468,1.0,0.0,7.0,1.08468,0.0,0.01,1.0,143.0,sell,2015.0
33,5072.99,1.08461,2015-07-21 12:23:57,1.08613,1.0,0.0,7.0,1.08613,0.0,0.01,1.52,60.0,sell,2015.0
34,5077.04,1.09302,2015-07-22 05:07:59,1.09602,3.0,56.0,7.0,1.09045,0.0,0.04,4.05,727.0,sell,2015.0
35,5078.06,1.09108,2015-07-22 16:02:39,1.09006,1.0,0.0,7.0,1.09006,0.0,0.01,1.02,41.0,buy,2015.0
36,5080.08,1.09382,2015-07-23 08:11:38,1.09530,2.0,9.0,7.0,1.09436,0.0,0.02,2.02,205.0,sell,2015.0
37,5081.08,1.09751,2015-07-23 12:22:39,1.09851,1.0,0.0,7.0,1.09851,0.0,0.01,1.0,107.0,sell,2015.0
38,5083.05,1.09739,2015-07-24 10:09:05,1.09936,1.0,0.0,7.0,1.09936,0.0,0.01,1.97,10.0,sell,2015.0
39,5084.06,1.09523,2015-07-24 12:35:40,1.09422,1.0,0.0,7.0,1.09422,0.0,0.01,1.01,118.0,buy,2015.0
40,5085.64,1.09741,2015-07-24 20:12:37,1.09899,1.0,0.0,7.0,1.09899,0.0,0.01,1.58,114.0,sell,2015.0
41,5086.66,1.10691,2015-07-27 12:20:59,1.10793,1.0,0.0,7.0,1.10793,0.0,0.01,1.02,116.0,sell,2015.0
42,5087.67,1.10395,2015-07-28 16:59:41,1.10294,1.0,0.0,7.0,1.10294,0.0,0.01,1.01,192.0,buy,2015.0
43,5088.67,1.09912,2015-07-29 23:50:38,1.09812,1.0,0.0,7.0,1.09812,0.0,0.01,1.0,100.0,buy,2015.0
44,5090.05,1.09622,2015-07-30 09:58:59,1.09484,1.0,0.0,7.0,1.09484,0.0,0.01,1.38,32.0,buy,2015.0
45,5091.89,1.10768,2015-07-31 17:25:38,1.10952,1.0,0.0,7.0,1.10952,0.0,0.01,1.84,73.0,sell,2015.0
46,5095.93,1.09953,2015-08-03 09:57:39,1.10071,4.0,0.0,8.0,1.10071,0.0,0.04,4.04,849.0,buy,2015.0
47,5096.94,1.09478,2015-08-04 05:24:17,1.09377,1.0,0.0,8.0,1.09377,0.0,0.01,1.01,129.0,buy,2015.0
48,5106.16,1.0896,2015-08-05 15:15:12,1.09298,6.0,0.0,8.0,1.09298,0.0,0.09,9.22,1111.0,buy,2015.0
49,5107.16,1.09225,2015-08-06 20:09:36,1.09325,1.0,0.0,8.0,1.09325,0.0,0.01,1.0,56.0,sell,2015.0
50,5108.17,1.09483,2015-08-10 14:26:31,1.09382,1.0,0.0,8.0,1.09382,0.0,0.01,1.01,81.0,buy,2015.0
51,5109.17,1.10214,2015-08-10 20:50:31,1.10314,1.0,0.0,8.0,1.10314,0.0,0.01,1.0,61.0,sell,2015.0
52,5111.16,1.10208,2015-08-11 12:18:37,1.10454,2.0,29.0,8.0,1.10161,0.0,0.02,1.99,112.0,sell,2015.0
53,5112.19,1.10504,2015-08-12 05:24:25,1.10607,1.0,0.0,8.0,1.10607,0.0,0.01,1.03,33.0,sell,2015.0
54,5114.81,1.11276,2015-08-12 11:54:39,1.11538,1.0,0.0,8.0,1.11538,0.0,0.01,2.62,37.0,sell,2015.0
55,5117.46,1.11452,2015-08-12 15:55:21,1.11717,1.0,0.0,8.0,1.11717,0.0,0.01,2.65,30.0,sell,2015.0
56,5119.95,1.11586,2015-08-13 05:08:26,1.11835,1.0,0.0,8.0,1.11835,0.0,0.01,2.49,29.0,sell,2015.0
57,5120.96,1.10667,2015-08-18 09:29:38,1.10566,1.0,0.0,8.0,1.10566,0.0,0.01,1.01,105.0,buy,2015.0
58,5121.99,1.10484,2015-08-19 05:28:00,1.10381,1.0,0.0,8.0,1.10381,0.0,0.01,1.03,827.0,buy,2015.0
59,5123.34,1.11339,2015-08-20 04:19:38,1.11474,1.0,0.0,8.0,1.11474,0.0,0.01,1.35,50.0,sell,2015.0
60,5128.32,1.1159,2015-08-20 15:49:39,1.11730,2.0,20.0,8.0,1.11528,0.0,0.05,4.98,212.0,sell,2015.0
61,5129.33,1.11878,2015-08-20 20:51:27,1.11979,1.0,0.0,8.0,1.11979,0.0,0.01,1.01,203.0,sell,2015.0
62,5131.4,1.13525,2015-08-21 21:03:17,1.13725,2.0,19.0,8.0,1.13532,0.0,0.02,2.07,132.0,sell,2015.0
63,5134.42,1.145,2015-08-24 06:43:41,1.14953,3.0,63.0,8.0,1.14322,0.0,0.03,3.02,139.0,sell,2015.0
64,5135.43,1.15807,2015-08-24 17:18:42,1.15908,1.0,0.0,8.0,1.15908,0.0,0.01,1.01,74.0,sell,2015.0
65,5140.47,1.15716,2015-08-24 20:33:37,1.15212,1.0,0.0,8.0,1.15212,0.0,0.01,5.04,28.0,buy,2015.0
